Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Future Simple Tense
,,,ellos/ellas/ustedes,bailan,bailaron,bailarán
bajar,to go down,bah - hahr,yo,bajo,bajé,bajaré
,,,tú,bajas,bajaste,bajarás
,,,él/ella/usted,baja,bajó,bajará
,,,nosotros,bajamos,bajamos,bajaremos
,,,vosotros,bajáis,bajasteis,bajaréis
,,,ellos/ellas/ustedes,bajan,bajaron,bajarán
beber,to drink,beh - behr,yo,bebo,bebí,beberé
,,,tú,bebes,bebiste,beberás
,,,él/ella/usted,bebe,bebió,beberá
,,,nosotros,bebemos,bebimos,beberemos
,,,vosotros,bebéis,bebisteis,beberéis
,,,ellos/ellas/ustedes,beben,bebieron,beberán
buscar,to search (for),boos - kahrr,yo,busco,busqué,buscaré
,,,tú,buscas,buscaste,buscarás
,,,él/ella/usted,busca,buscó,buscará
,,,nosotros,buscamos,buscamos,buscaremos
,,,vosotros,buscáis,buscasteis,buscaréis
,,,ellos/ellas/ustedes,buscan,buscaron,buscarán
caber,to fit,kah - behr,yo,quepo,cupe,cabré
,,,tú,cabes,cupiste,cabrás
,,,él/ella/usted,cabe,cupo,cabrá
,,,nosotros,cabemos,cupimos,cabremos
,,,vosotros,cabéis,cupisteis,cabréis
,,,ellos/ellas/ustedes,caben,cupieron,cabrán
cambiar,to change,kahm - byahr,yo,cambio,cambié,cambiaré
,,,tú,cambias,cambiaste,cambiarás
,,,él/ella/usted,cambia,cambió,cambiará
,,,nosotros,cambiamos,cambiamos,cambiaremos
,,,vosotros,cambiáis,cambiasteis,cambiaréis
,,,ellos/ellas/ustedes,cambian,cambiaron,cambiarán
caminar,to walk,kah - mee - nahr,yo,camino,caminé,caminaré
,,,tú,caminas,caminaste,caminarás
,,,él/ella/usted,camina,caminó,caminará
,,,nosotros,caminamos,caminamos,caminaremos
,,,vosotros,camináis,caminasteis,caminaréis
,,,ellos/ellas/ustedes,caminan,caminaron,caminarán
cancelar,to cancel,kahn - theh - lahr,yo,cancelo,cancelé,cancelaré
,,,tú,cancelas,cancelaste,cancelarás
,,,él/ella/usted,cancela,canceló,cancelará
,,,nosotros,cancelamos,cancelamos,cancelaremos
,,,vosotros,canceláis,cancelasteis,cancelaréis
,,,ellos/ellas/ustedes,cancelan,cancelaron,cancelarán
cantar,to sing,kahn - tahr,yo,canto,canté,cantaré
,,,tú,cantas,cantaste,cantarás
,,,él/ella/usted,canta,cantó,cantará
,,,nosotros,cantamos,cantamos,cantaremos
,,,vosotros,cantáis,cantasteis,cantaréis
,,,ellos/ellas/ustedes,cantan,cantaron,cantarán
casarse,to marry,kah - sahr - seh,yo,me caso,me casé,me casaré
,,,tú,te casas,te casaste,te casarás
,,,él/ella/usted,se casa,se casó,se casará
,,,nosotros,nos casamos,nos casamos,nos casaremos
,,,vosotros,os casáis,os casasteis,os casaréis
,,,ellos/ellas/ustedes,se casan,se casaron,se casarán
celebrar,to celebrate,theh - leh - brahr,yo,celebro,celebré,celebraré
,,,tú,celebras,celebraste,celebrarás
,,,él/ella/usted,celebra,celebró,celebrará
,,,nosotros,celebramos,celebramos,celebraremos
,,,vosotros,celebráis,celebrasteis,celebraréis
,,,ellos/ellas/ustedes,celebran,celebraron,celebrarán
comer,to eat,koh - mehr,yo,como,comí,comeré
,,,tú,comes,comiste,comerás
,,,él/ella/usted,come,comió,comerá
,,,nosotros,comemos,comimos,comeremos
,,,vosotros,coméis,comisteis,comeréis
,,,ellos/ellas/ustedes,comen,comieron,comerán
comprar,to buy,kohm - prahr,yo,compro,compré,compraré
,,,tú,compras,compraste,comprarás
,,,él/ella/usted,compra,compró,comprará
,,,nosotros,compramos,compramos,compraremos
,,,vosotros,compráis,comprasteis,compraréis
,,,ellos/ellas/ustedes,compran,compraron,comprarán
conocer,to know (people and places),koh - noh - thehr,yo,conozco,conocí,conoceré
,,,tú,conoces,conociste,conocerás
,,,él/ella/usted,conoce,conoció,conocerá
,,,nosotros,conocemos,conocimos,conoceremos
,,,vosotros,conocéis,conocisteis,conoceréis
,,,ellos/ellas/ustedes,conocen,conocieron,conocerán
dar,to give,dahr,yo,doy,di,daré
,,,tú,das,diste,darás
,,,él/ella/usted,da,dio,dará
,,,nosotros,damos,dimos,daremos
,,,vosotros,dais,disteis,daréis
,,,ellos/ellas/ustedes,dan,dieron,darán
decir,to say,deh - theer,yo,digo,dije,diré
,,,tú,dices,dijiste,dirás
,,,él/ella/usted,dice,dijo,dirá
,,,nosotros,decimos,dijimos,diremos
,,,vosotros,decís,dijisteis,diréis
,,,ellos/ellas/ustedes,dicen,dijeron,dirán
dormir,to sleep,dohr - meer,yo,duermo,dormí,dormiré
,,,tú,duermes,dormiste,dormirás
,,,él/ella/usted,duerme,durmió,dormirá
,,,nosotros,dormimos,dormimos,dormiremos
,,,vosotros,dormís,dormisteis,dormiréis
,,,ellos/ellas/ustedes,duermen,durmieron,dormirán
escribir,to write,ehs - kree - beer,yo,escribo,escribí,escribiré
,,,tú,escribes,escribiste,escribirás
,,,él/ella/usted,escribe,escribió,escribirá
,,,nosotros,escribimos,escribimos,escribiremos
,,,vosotros,escribís,escribisteis,escribiréis
,,,ellos/ellas/ustedes,escriben,escribieron,escribirán
estar,to be (temporary),ehs - tahr,yo,estoy,estuve,estaré
,,,tú,estás,estuviste,estarás
,,,él/ella/usted,está,estuvo,estará
,,,nosotros,estamos,estuvimos,estaremos
,,,vosotros,estáis,estuvisteis,estaréis
,,,ellos/ellas/ustedes,están,estuvieron,estarán
estudiar,to study,ehs - too - dyahr,yo,estudio,estudié,estudiaré
,,,tú,estudias,estudiaste,estudiarás
,,,él/ella/usted,estudia,estudió,estudiará
,,,nosotros,estudiamos,estudiamos,estudiaremos
,,,vosotros,estudiáis,estudiasteis,estudiaréis
,,,ellos/ellas/ustedes,estudian,estudiaron,estudiarán
haber,to have,ah - behr,yo,he,hube,habré
,,,tú,has,hubiste,habrás
,,,él/ella/usted,"ha
,
hay",hubo,habrá
,,,nosotros,hemos,hubimos,habremos
,,,vosotros,habéis,hubisteis,habréis
,,,ellos/ellas/ustedes,han,hubieron,habrán
hablar,to speak,ah - blahr,yo,hablo,hablé,hablaré
,,,tú,hablas,hablaste,hablarás
,,,él/ella/usted,habla,habló,hablará
,,,nosotros,hablamos,hablamos,hablaremos
,,,vosotros,habláis,hablasteis,hablaréis
,,,ellos/ellas/ustedes,hablan,hablaron,hablarán
hacer,to do,ah - thehr,yo,hago,hice,haré
,,,tú,haces,hiciste,harás
,,,él/ella/usted,hace,hizo,hará
,,,nosotros,hacemos,hicimos,haremos
,,,vosotros,hacéis,hicisteis,haréis
,,,ellos/ellas/ustedes,hacen,hicieron,harán
ir,to go,eer,yo,voy,fui,iré
,,,tú,vas,fuiste,irás
,,,él/ella/usted,va,fue,irá
,,,nosotros,vamos,fuimos,iremos
,,,vosotros,vais,fuisteis,iréis
,,,ellos/ellas/ustedes,van,fueron,irán
jugar,to play,hoo - gahr,yo,juego,jugué,jugaré
,,,tú,juegas,jugaste,jugarás
,,,él/ella/usted,juega,jugó,jugará
,,,nosotros,jugamos,jugamos,jugaremos
,,,vosotros,jugáis,jugasteis,jugaréis
,,,ellos/ellas/ustedes,juegan,jugaron,jugarán
leer,to read,leh - ehr,yo,leo,leí,leeré
,,,tú,lees,leíste,leerás
,,,él/ella/usted,lee,leyó,leerá
,,,nosotros,leemos,leímos,leeremos
,,,vosotros,leéis,leísteis,leeréis
,,,ellos/ellas/ustedes,leen,leyeron,leerán
llamar,to call,yah - mahr,yo,llamo,llamé,llamaré
,,,tú,llamas,llamaste,llamarás
,,,él/ella/usted,llama,llamó,llamará
,,,nosotros,llamamos,llamamos,llamaremos
,,,vosotros,llamáis,llamasteis,llamaréis
,,,ellos/ellas/ustedes,llaman,llamaron,llamarán
llegar,to arrive,yeh - gahr,yo,llego,llegué,llegaré
,,,tú,llegas,llegaste,llegarás
,,,él/ella/usted,llega,llegó,llegará
,,,nosotros,llegamos,llegamos,llegaremos
,,,vosotros,llegáis,llegasteis,llegaréis
,,,ellos/ellas/ustedes,llegan,llegaron,llegarán
necesitar,to need,neh - theh - see - tahr,yo,necesito,necesité,necesitaré
,,,tú,necesitas,necesitaste,necesitarás
,,,él/ella/usted,necesita,necesitó,necesitará
,,,nosotros,necesitamos,necesitamos,necesitaremos
,,,vosotros,necesitáis,necesitasteis,necesitaréis
,,,ellos/ellas/ustedes,necesitan,necesitaron,necesitarán
pedir,to ask for,peh - deer,yo,pido,pedí,pediré
,,,tú,pides,pediste,pedirás
,,,él/ella/usted,pide,pidió,pedirá
,,,nosotros,pedimos,pedimos,pediremos
,,,vosotros,pedís,pedisteis,pediréis
,,,ellos/ellas/ustedes,piden,pidieron,pedirán
pensar,to think,pehn - sahr,yo,pienso,pensé,pensaré
,,,tú,piensas,pensaste,pensarás
,,,él/ella/usted,piensa,pensó,pensará
,,,nosotros,pensamos,pensamos,pensaremos
,,,vosotros,pensáis,pensasteis,pensaréis
,,,ellos/ellas/ustedes,piensan,pensaron,pensarán
poder,to be able to,poh - dehr,yo,puedo,pude,podré
,,,tú,puedes,pudiste,podrás
,,,él/ella/usted,puede,pudo,podrá
,,,nosotros,podemos,pudimos,podremos
,,,vosotros,podéis,pudisteis,podréis
,,,ellos/ellas/ustedes,pueden,pudieron,podrán
poner,to put,poh - nehr,yo,pongo,puse,pondré
,,,tú,pones,pusiste,pondrás
,,,él/ella/usted,pone,puso,pondrá
,,,nosotros,ponemos,pusimos,pondremos
,,,vosotros,ponéis,pusisteis,pondréis
,,,ellos/ellas/ustedes,ponen,pusieron,pondrán
querer,to want,keh - rehr,yo,quiero,quise,querré
,,,tú,quieres,quisiste,querrás
,,,él/ella/usted,quiere,quiso,querrá
,,,nosotros,queremos,quisimos,querremos
,,,vosotros,queréis,quisisteis,querréis
,,,ellos/ellas/ustedes,quieren,quisieron,querrán
saber,to know (things),sah - behr,yo,sé,supe,sabré
,,,tú,sabes,supiste,sabrás
,,,él/ella/usted,sabe,supo,sabrá
,,,nosotros,sabemos,supimos,sabremos
,,,vosotros,sabéis,supisteis,sabréis
,,,ellos/ellas/ustedes,saben,supieron,sabrán
salir,to go out,sah - leer,yo,salgo,salí,saldré
,,,tú,sales,saliste,saldrás
,,,él/ella/usted,sale,salió,saldrá
,,,nosotros,salimos,salimos,saldremos
,,,vosotros,salís,salisteis,saldréis
,,,ellos/ellas/ustedes,salen,salieron,saldrán
ser,to be (permanent),sehr,yo,soy,fui,seré
,,,tú,eres,fuiste,serás
,,,él/ella/usted,es,fue,será
,,,nosotros,somos,fuimos,seremos
,,,vosotros,sois,fuisteis,seréis
,,,ellos/ellas/ustedes,son,fueron,serán
tener,to have,teh - nehr,yo,tengo,tuve,tendré
,,,tú,tienes,tuviste,tendrás
,,,él/ella/usted,tiene,tuvo,tendrá
,,,nosotros,tenemos,tuvimos,tendremos
,,,vosotros,tenéis,tuvisteis,tendréis
,,,ellos/ellas/ustedes,tienen,tuvieron,tendrán
trabajar,to work,trah - bah - hahr,yo,trabajo,trabajé,trabajaré
,,,tú,trabajas,trabajaste,trabajarás
,,,él/ella/usted,trabaja,trabajó,trabajará
,,,nosotros,trabajamos,trabajamos,trabajaremos
,,,vosotros,trabajáis,trabajasteis,trabajaréis
,,,ellos/ellas/ustedes,trabajan,trabajaron,trabajarán
venir,to come,beh - neer,yo,vengo,vine,vendré
,,,tú,vienes,viniste,vendrás
,,,él/ella/usted,viene,vino,vendrá
,,,nosotros,venimos,vinimos,vendremos
,,,vosotros,venís,vinisteis,vendréis
,,,ellos/ellas/ustedes,vienen,vinieron,vendrán
ver,to see,behr,yo,veo,vi,veré
,,,tú,ves,viste,verás
,,,él/ella/usted,ve,vio,verá
,,,nosotros,vemos,vimos,veremos
,,,vosotros,veis,visteis,veréis
,,,ellos/ellas/ustedes,ven,vieron,verán
vivir,to live,bee - beer,yo,vivo,viví,viviré
,,,tú,vives,viviste,vivirás
,,,él/ella/usted,vive,vivió,vivirá
,,,nosotros,vivimos,vivimos,viviremos
,,,vosotros,vivís,vivisteis,viviréis
,,,ellos/ellas/ustedes,viven,vivieron,vivirán
