Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Past Imperfect Tense,Conditional Tense,Future Simple Tense
,,,él/ella/usted,apoya,apoyó,apoyaba,apoyaría,apoyará
,,,nosotros,apoyamos,apoyamos,apoyábamos,apoyaríamos,apoyaremos
,,,vosotros,apoyáis,apoyasteis,apoyabais,apoyaríais,apoyaréis
,,,ellos/ellas/ustedes,apoyan,apoyaron,apoyaban,apoyarían,apoyarán
aprender,to learn,ah - prehn - dehr,yo,aprendo,aprendí,aprendía,aprendería,aprenderé
,,,tú,aprendes,aprendiste,aprendías,aprenderías,aprenderás
,,,él/ella/usted,aprende,aprendió,aprendía,aprendería,aprenderá
,,,nosotros,aprendemos,aprendimos,aprendíamos,aprenderíamos,aprenderemos
,,,vosotros,aprendéis,aprendisteis,aprendíais,aprenderíais,aprenderéis
,,,ellos/ellas/ustedes,aprenden,aprendieron,aprendían,aprenderían,aprenderán
arreglar,to fix,ah - rreh - glahr,yo,arreglo,arreglé,arreglaba,arreglaría,arreglaré
,,,tú,arreglas,arreglaste,arreglabas,arreglarías,arreglarás
,,,él/ella/usted,arregla,arregló,arreglaba,arreglaría,arreglará
,,,nosotros,arreglamos,arreglamos,arreglábamos,arreglaríamos,arreglaremos
,,,vosotros,arregláis,arreglasteis,arreglabais,arreglaríais,arreglaréis
,,,ellos/ellas/ustedes,arreglan,arreglaron,arreglaban,arreglarían,arreglarán
asegurarse,to be sure,ah - seh - goo - rahr - seh,yo,me aseguro,me aseguré,me aseguraba,me aseguraría,me aseguraré
,,,tú,te aseguras,te aseguraste,te asegurabas,te asegurarías,te asegurarás
,,,él/ella/usted,se asegura,se aseguró,se aseguraba,se aseguraría,se asegurará
,,,nosotros,nos aseguramos,nos aseguramos,nos asegurábamos,nos aseguraríamos,nos aseguraremos
,,,vosotros,os aseguráis,os asegurasteis,os asegurabais,os aseguraríais,os aseguraréis
,,,ellos/ellas/ustedes,se aseguran,se aseguraron,se aseguraban,se asegurarían,se asegurarán
atender,to attend to,ah - tehn - dehr,yo,atiendo,atendí,atendía,atendería,atenderé
,,,tú,atiendes,atendiste,atendías,atenderías,atenderás
,,,él/ella/usted,atiende,atendió,atendía,atendería,atenderá
,,,nosotros,atendemos,atendimos,atendíamos,atenderíamos,atenderemos
,,,vosotros,atendéis,atendisteis,atendíais,atenderíais,atenderéis
,,,ellos/ellas/ustedes,atienden,atendieron,atendían,atenderían,atenderán
avanzar,to advance,ah - bahn - thahr,yo,avanzo,avancé,avanzaba,avanzaría,avanzaré
,,,tú,avanzas,avanzaste,avanzabas,avanzarías,avanzarás
,,,él/ella/usted,avanza,avanzó,avanzaba,avanzaría,avanzará
,,,nosotros,avanzamos,avanzamos,avanzábamos,avanzaríamos,avanzaremos
,,,vosotros,avanzáis,avanzasteis,avanzabais,avanzaríais,avanzaréis
,,,ellos/ellas/ustedes,avanzan,avanzaron,avanzaban,avanzarían,avanzarán
ayudar,to help,ah - yoo - dahr,yo,ayudo,ayudé,ayudaba,ayudaría,ayudaré
,,,tú,ayudas,ayudaste,ayudabas,ayudarías,ayudarás
,,,él/ella/usted,ayuda,ayudó,ayudaba,ayudaría,ayudará
,,,nosotros,ayudamos,ayudamos,ayudábamos,ayudaríamos,ayudaremos
,,,vosotros,ayudáis,ayudasteis,ayudabais,ayudaríais,ayudaréis
,,,ellos/ellas/ustedes,ayudan,ayudaron,ayudaban,ayudarían,ayudarán
bailar,to dance,bay - lahr,yo,bailo,bailé,bailaba,bailaría,bailaré
,,,tú,bailas,bailaste,bailabas,bailarías,bailarás
,,,él/ella/usted,baila,bailó,bailaba,bailaría,bailará
,,,nosotros,bailamos,bailamos,bailábamos,bailaríamos,bailaremos
,,,vosotros,bailáis,bailasteis,bailabais,bailaríais,bailaréis
,,,ellos/ellas/ustedes,bailan,bailaron,bailaban,bailarían,bailarán
bajar,to go down,bah - hahr,yo,bajo,bajé,bajaba,bajaría,bajaré
,,,tú,bajas,bajaste,bajabas,bajarías,bajarás
,,,él/ella/usted,baja,bajó,bajaba,bajaría,bajará
,,,nosotros,bajamos,bajamos,bajábamos,bajaríamos,bajaremos
,,,vosotros,bajáis,bajasteis,bajabais,bajaríais,bajaréis
,,,ellos/ellas/ustedes,bajan,bajaron,bajaban,bajarían,bajarán
beber,to drink,beh - behr,yo,bebo,bebí,bebía,bebería,beberé
,,,tú,bebes,bebiste,bebías,beberías,beberás
,,,él/ella/usted,bebe,bebió,bebía,bebería,beberá
,,,nosotros,bebemos,bebimos,bebíamos,beberíamos,beberemos
,,,vosotros,bebéis,bebisteis,bebíais,beberíais,beberéis
,,,ellos/ellas/ustedes,beben,bebieron,bebían,beberían,beberán
buscar,to search (for),boos - kahrr,yo,busco,busqué,buscaba,buscaría,buscaré
,,,tú,buscas,buscaste,buscabas,buscarías,buscarás
,,,él/ella/usted,busca,buscó,buscaba,buscaría,buscará
,,,nosotros,buscamos,buscamos,buscábamos,buscaríamos,buscaremos
,,,vosotros,buscáis,buscasteis,buscabais,buscaríais,buscaréis
,,,ellos/ellas/ustedes,buscan,buscaron,buscaban,buscarían,buscarán
caber,to fit,kah - behr,yo,quepo,cupe,cabía,cabría,cabré
,,,tú,cabes,cupiste,cabías,cabrías,cabrás
,,,él/ella/usted,cabe,cupo,cabía,cabría,cabrá
,,,nosotros,cabemos,cupimos,cabíamos,cabríamos,cabremos
,,,vosotros,cabéis,cupisteis,cabíais,cabríais,cabréis
,,,ellos/ellas/ustedes,caben,cupieron,cabían,cabrían,cabrán
cambiar,to change,kahm - byahr,yo,cambio,cambié,cambiaba,cambiaría,cambiaré
,,,tú,cambias,cambiaste,cambiabas,cambiarías,cambiarás
,,,él/ella/usted,cambia,cambió,cambiaba,cambiaría,cambiará
,,,nosotros,cambiamos,cambiamos,cambiábamos,cambiaríamos,cambiaremos
,,,vosotros,cambiáis,cambiasteis,cambiabais,cambiaríais,cambiaréis
,,,ellos/ellas/ustedes,cambian,cambiaron,cambiaban,cambiarían,cambiarán
caminar,to walk,kah - mee - nahr,yo,camino,caminé,caminaba,caminaría,caminaré
,,,tú,caminas,caminaste,caminabas,caminarías,caminarás
,,,él/ella/usted,camina,caminó,caminaba,caminaría,caminará
,,,nosotros,caminamos,caminamos,caminábamos,caminaríamos,caminaremos
,,,vosotros,camináis,caminasteis,caminabais,caminaríais,caminaréis
,,,ellos/ellas/ustedes,caminan,caminaron,caminaban,caminarían,caminarán
cancelar,to cancel,kahn - theh - lahr,yo,cancelo,cancelé,cancelaba,cancelaría,cancelaré
,,,tú,cancelas,cancelaste,cancelabas,cancelarías,cancelarás
,,,él/ella/usted,cancela,canceló,cancelaba,cancelaría,cancelará
,,,nosotros,cancelamos,cancelamos,cancelábamos,cancelaríamos,cancelaremos
,,,vosotros,canceláis,cancelasteis,cancelabais,cancelaríais,cancelaréis
,,,ellos/ellas/ustedes,cancelan,cancelaron,cancelaban,cancelarían,cancelarán
cantar,to sing,kahn - tahr,yo,canto,canté,cantaba,cantaría,cantaré
,,,tú,cantas,cantaste,cantabas,cantarías,cantarás
,,,él/ella/usted,canta,cantó,cantaba,cantaría,cantará
,,,nosotros,cantamos,cantamos,cantábamos,cantaríamos,cantaremos
,,,vosotros,cantáis,cantasteis,cantabais,cantaríais,cantaréis
,,,ellos/ellas/ustedes,cantan,cantaron,cantaban,cantarían,cantarán
casarse,to marry,kah - sahr - seh,yo,me caso,me casé,me casaba,me casaría,me casaré
,,,tú,te casas,te casaste,te casabas,te casarías,te casarás
,,,él/ella/usted,se casa,se casó,se casaba,se casaría,se casará
,,,nosotros,nos casamos,nos casamos,nos casábamos,nos casaríamos,nos casaremos
,,,vosotros,os casáis,os casasteis,os casabais,os casaríais,os casaréis
,,,ellos/ellas/ustedes,se casan,se casaron,se casaban,se casarían,se casarán
celebrar,to celebrate,theh - leh - brahr,yo,celebro,celebré,celebraba,celebraría,celebraré
,,,tú,celebras,celebraste,celebrabas,celebrarías,celebrarás
,,,él/ella/usted,celebra,celebró,celebraba,celebraría,celebrará
