Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Past Imperfect Tense,Conditional Tense,Future Simple Tense
,,,él/ella/usted,cruza,cruzó,cruzaba,cruzaría,cruzará
,,,nosotros,cruzamos,cruzamos,cruzábamos,cruzaríamos,cruzaremos
,,,vosotros,cruzáis,cruzasteis,cruzabais,cruzaríais,cruzaréis
,,,ellos/ellas/ustedes,cruzan,cruzaron,cruzaban,cruzarían,cruzarán
cubrir,to cover,koo - breer,yo,cubro,cubrí,cubría,cubriría,cubriré
,,,tú,cubres,cubriste,cubrías,cubrirías,cubrirás
,,,él/ella/usted,cubre,cubrió,cubría,cubriría,cubrirá
,,,nosotros,cubrimos,cubrimos,cubríamos,cubriríamos,cubriremos
,,,vosotros,cubrís,cubristeis,cubríais,cubriríais,cubriréis
,,,ellos/ellas/ustedes,cubren,cubrieron,cubrían,cubrirían,cubrirán
cuidar,to look after,kwee - dahr,yo,cuido,cuidé,cuidaba,cuidaría,cuidaré
,,,tú,cuidas,cuidaste,cuidabas,cuidarías,cuidarás
,,,él/ella/usted,cuida,cuidó,cuidaba,cuidaría,cuidará
,,,nosotros,cuidamos,cuidamos,cuidábamos,cuidaríamos,cuidaremos
,,,vosotros,cuidáis,cuidasteis,cuidabais,cuidaríais,cuidaréis
,,,ellos/ellas/ustedes,cuidan,cuidaron,cuidaban,cuidarían,cuidarán
dar,to give,dahr,yo,doy,di,daba,daría,daré
,,,tú,das,diste,dabas,darías,darás
,,,él/ella/usted,da,dio,daba,daría,dará
,,,nosotros,damos,dimos,dábamos,daríamos,daremos
,,,vosotros,dais,disteis,dabais,daríais,daréis
,,,ellos/ellas/ustedes,dan,dieron,daban,darían,darán
deber,"to owe, should",deh - behr,yo,debo,debí,debía,debería,deberé
,,,tú,debes,debiste,debías,deberías,deberás
,,,él/ella/usted,debe,debió,debía,debería,deberá
,,,nosotros,debemos,debimos,debíamos,deberíamos,deberemos
,,,vosotros,debéis,debisteis,debíais,deberíais,deberéis
,,,ellos/ellas/ustedes,deben,debieron,debían,deberían,deberán
decidir,to decide,deh - thee - deer,yo,decido,decidí,decidía,decidiría,decidiré
,,,tú,decides,decidiste,decidías,decidirías,decidirás
,,,él/ella/usted,decide,decidió,decidía,decidiría,decidirá
,,,nosotros,decidimos,decidimos,decidíamos,decidiríamos,decidiremos
,,,vosotros,decidís,decidisteis,decidíais,decidiríais,decidiréis
,,,ellos/ellas/ustedes,deciden,decidieron,decidían,decidirían,decidirán
decir,to say,deh - theer,yo,digo,dije,decía,diría,diré
,,,tú,dices,dijiste,decías,dirías,dirás
,,,él/ella/usted,dice,dijo,decía,diría,dirá
,,,nosotros,decimos,dijimos,decíamos,diríamos,diremos
,,,vosotros,decís,dijisteis,decíais,diríais,diréis
,,,ellos/ellas/ustedes,dicen,dijeron,decían,dirían,dirán
dedicarse,to do for a living,deh - dee - kahr - seh,yo,me dedico,me dediqué,me dedicaba,me dedicaría,me dedicaré
,,,tú,te dedicas,te dedicaste,te dedicabas,te dedicarías,te dedicarás
,,,él/ella/usted,se dedica,se dedicó,se dedicaba,se dedicaría,se dedicará
,,,nosotros,nos dedicamos,nos dedicamos,nos dedicábamos,nos dedicaríamos,nos dedicaremos
,,,vosotros,os dedicáis,os dedicasteis,os dedicabais,os dedicaríais,os dedicaréis
,,,ellos/ellas/ustedes,se dedican,se dedicaron,se dedicaban,se dedicarían,se dedicarán
dejar,to leave,deh - hahr,yo,dejo,dejé,dejaba,dejaría,dejaré
,,,tú,dejas,dejaste,dejabas,dejarías,dejarás
,,,él/ella/usted,deja,dejó,dejaba,dejaría,dejará
,,,nosotros,dejamos,dejamos,dejábamos,dejaríamos,dejaremos
,,,vosotros,dejáis,dejasteis,dejabais,dejaríais,dejaréis
,,,ellos/ellas/ustedes,dejan,dejaron,dejaban,dejarían,dejarán
desaparecer,to disappear,dehs - ah - pah - reh - thehr,yo,desaparezco,desaparecí,desaparecía,desaparecería,desapareceré
,,,tú,desapareces,desapareciste,desaparecías,desaparecerías,desaparecerás
,,,él/ella/usted,desaparece,desapareció,desaparecía,desaparecería,desaparecerá
,,,nosotros,desaparecemos,desaparecimos,desaparecíamos,desapareceríamos,desapareceremos
,,,vosotros,desaparecéis,desaparecisteis,desaparecíais,desapareceríais,desapareceréis
,,,ellos/ellas/ustedes,desaparecen,desaparecieron,desaparecían,desaparecerían,desaparecerán
desarrollar,to develop,deh - sah - rroh - yahr,yo,desarrollo,desarrollé,desarrollaba,desarrollaría,desarrollaré
,,,tú,desarrollas,desarrollaste,desarrollabas,desarrollarías,desarrollarás
,,,él/ella/usted,desarrolla,desarrolló,desarrollaba,desarrollaría,desarrollará
,,,nosotros,desarrollamos,desarrollamos,desarrollábamos,desarrollaríamos,desarrollaremos
,,,vosotros,desarrolláis,desarrollasteis,desarrollabais,desarrollaríais,desarrollaréis
,,,ellos/ellas/ustedes,desarrollan,desarrollaron,desarrollaban,desarrollarían,desarrollarán
desayunar,to have breakfast,dehs - ah - yoo - nahr,yo,desayuno,desayuné,desayunaba,desayunaría,desayunaré
,,,tú,desayunas,desayunaste,desayunabas,desayunarías,desayunarás
,,,él/ella/usted,desayuna,desayunó,desayunaba,desayunaría,desayunará
,,,nosotros,desayunamos,desayunamos,desayunábamos,desayunaríamos,desayunaremos
,,,vosotros,desayunáis,desayunasteis,desayunabais,desayunaríais,desayunaréis
,,,ellos/ellas/ustedes,desayunan,desayunaron,desayunaban,desayunarían,desayunarán
descansar,to rest,dehs - kahn - sahr,yo,descanso,descansé,descansaba,descansaría,descansaré
,,,tú,descansas,descansaste,descansabas,descansarías,descansarás
,,,él/ella/usted,descansa,descansó,descansaba,descansaría,descansará
,,,nosotros,descansamos,descansamos,descansábamos,descansaríamos,descansaremos
,,,vosotros,descansáis,descansasteis,descansabais,descansaríais,descansaréis
,,,ellos/ellas/ustedes,descansan,descansaron,descansaban,descansarían,descansarán
describir,to describe,dehs - kree - beer,yo,describo,describí,describía,describiría,describiré
,,,tú,describes,describiste,describías,describirías,describirás
,,,él/ella/usted,describe,describió,describía,describiría,describirá
,,,nosotros,describimos,describimos,describíamos,describiríamos,describiremos
,,,vosotros,describís,describisteis,describíais,describiríais,describiréis
,,,ellos/ellas/ustedes,describen,describieron,describían,describirían,describirán
descubrir,to discover,dehs - koo - breer,yo,descubro,descubrí,descubría,descubriría,descubriré
,,,tú,descubres,descubriste,descubrías,descubrirías,descubrirás
,,,él/ella/usted,descubre,descubrió,descubría,descubriría,descubrirá
,,,nosotros,descubrimos,descubrimos,descubríamos,descubriríamos,descubriremos
,,,vosotros,descubrís,descubristeis,descubríais,descubriríais,descubriréis
,,,ellos/ellas/ustedes,descubren,descubrieron,descubrían,descubrirían,descubrirán
desear,to wish,deh - seh - ahr,yo,deseo,deseé,deseaba,desearía,desearé
,,,tú,deseas,deseaste,deseabas,desearías,desearás
,,,él/ella/usted,desea,deseó,deseaba,desearía,deseará
,,,nosotros,deseamos,deseamos,deseábamos,desearíamos,desearemos
,,,vosotros,deseáis,deseasteis,deseabais,desearíais,desearéis
,,,ellos/ellas/ustedes,desean,desearon,deseaban,desearían,desearán
despedirse,to say goodbye,dehs - peh - deer - seh,yo,me despido,me despedí,me despedía,me despediría,me despediré
,,,tú,te despides,te despediste,te despedías,te despedirías,te despedirás
,,,él/ella/usted,se despide,se despidió,se despedía,se despediría,se despedirá
,,,nosotros,nos despedimos,nos despedimos,nos despedíamos,nos despediríamos,nos despediremos
,,,vosotros,os despedís,os despedisteis,os despedíais,os despediríais,os despediréis
,,,ellos/ellas/ustedes,se despiden,se despidieron,se despedían,se despedirían,se despedirán
despertarse,to wake up,dehs - pehr - tahr - seh,yo,me despierto,me desperté,me despertaba,me despertaría,me despertaré
,,,tú,te despiertas,te despertaste,te despertabas,te despertarías,te despertarás
,,,él/ella/usted,se despierta,se despertó,se despertaba,se despertaría,se despertará
,,,nosotros,nos despertamos,nos despertamos,nos despertábamos,nos despertaríamos,nos despertaremos
,,,vosotros,os despertáis,os despertasteis,os despertabais,os despertaríais,os despertaréis
,,,ellos/ellas/ustedes,se despiertan,se despertaron,se despertaban,se despertarían,se despertarán
dibujar,to draw,dee - boo - hahr,yo,dibujo,dibujé,dibujaba,dibujaría,dibujaré
,,,tú,dibujas,dibujaste,dibujabas,dibujarías,dibujarás
,,,él/ella/usted,dibuja,dibujó,dibujaba,dibujaría,dibujará
,,,nosotros,dibujamos,dibujamos,dibujábamos,dibujaríamos,dibujaremos
,,,vosotros,dibujáis,dibujasteis,dibujabais,dibujaríais,dibujaréis
,,,ellos/ellas/ustedes,dibujan,dibujaron,dibujaban,dibujarían,dibujarán
disfrutar,to enjoy,dees - froo - tahr,yo,disfruto,disfruté,disfrutaba,disfrutaría,disfrutaré
,,,tú,disfrutas,disfrutaste,disfrutabas,disfrutarías,disfrutarás
,,,él/ella/usted,disfruta,disfrutó,disfrutaba,disfrutaría,disfrutará
,,,nosotros,disfrutamos,disfrutamos,disfrutábamos,disfrutaríamos,disfrutaremos
,,,vosotros,disfrutáis,disfrutasteis,disfrutabais,disfrutaríais,disfrutaréis
,,,ellos/ellas/ustedes,disfrutan,disfrutaron,disfrutaban,disfrutarían,disfrutarán
divertirse,to have fun,dee - behr - teer - seh,yo,me divierto,me divertí,me divertía,me divertiría,me divertiré
,,,tú,te diviertes,te divertiste,te divertías,te divertirías,te divertirás
,,,él/ella/usted,se divierte,se divirtió,se divertía,se divertiría,se divertirá
,,,nosotros,nos divertimos,nos divertimos,nos divertíamos,nos divertiríamos,nos divertiremos
,,,vosotros,os divertís,os divertisteis,os divertíais,os divertiríais,os divertiréis
,,,ellos/ellas/ustedes,se divierten,se divirtieron,se divertían,se divertirían,se divertirán
doler,to hurt,doh - lehr,yo,duelo,dolí,dolía,dolería,doleré
,,,tú,dueles,doliste,dolías,dolerías,dolerás
,,,él/ella/usted,duele,dolió,dolía,dolería,dolerá
,,,nosotros,dolemos,dolimos,dolíamos,doleríamos,doleremos
,,,vosotros,doléis,dolisteis,dolíais,doleríais,doleréis
,,,ellos/ellas/ustedes,duelen,dolieron,dolían,dolerían,dolerán
dormir,to sleep,dohr - meer,yo,duermo,dormí,dormía,dormiría,dormiré
,,,tú,duermes,dormiste,dormías,dormirías,dormirás
,,,él/ella/usted,duerme,durmió,dormía,dormiría,dormirá
,,,nosotros,dormimos,dormimos,dormíamos,dormiríamos,dormiremos
,,,vosotros,dormís,dormisteis,dormíais,dormiríais,dormiréis
,,,ellos/ellas/ustedes,duermen,durmieron,dormían,dormirían,dormirán
ducharse,to take a shower,doo - chahr - seh,yo,me ducho,me duché,me duchaba,me ducharía,me ducharé
,,,tú,te duchas,te duchaste,te duchabas,te ducharías,te ducharás
,,,él/ella/usted,se ducha,se duchó,se duchaba,se ducharía,se duchará
,,,nosotros,nos duchamos,nos duchamos,nos duchábamos,nos ducharíamos,nos ducharemos
,,,vosotros,os ducháis,os duchasteis,os duchabais,os ducharíais,os ducharéis
,,,ellos/ellas/ustedes,se duchan,se ducharon,se duchaban,se ducharían,se ducharán
dudar,to doubt,doo - dahr,yo,dudo,dudé,dudaba,dudaría,dudaré
,,,tú,dudas,dudaste,dudabas,dudarías,dudarás
,,,él/ella/usted,duda,dudó,dudaba,dudaría,dudará
,,,nosotros,dudamos,dudamos,dudábamos,dudaríamos,dudaremos
,,,vosotros,dudáis,dudasteis,dudabais,dudaríais,dudaréis
,,,ellos/ellas/ustedes,dudan,dudaron,dudaban,dudarían,dudarán
durar,to last,doo - rahr,yo,duro,duré,duraba,duraría,duraré
,,,tú,duras,duraste,durabas,durarías,durarás
,,,él/ella/usted,dura,duró,duraba,duraría,durará
,,,nosotros,duramos,duramos,durábamos,duraríamos,duraremos
,,,vosotros,duráis,durasteis,durabais,duraríais,duraréis
,,,ellos/ellas/ustedes,duran,duraron,duraban,durarían,durarán
elegir,to choose,eh - leh - heer,yo,elijo,elegí,elegía,elegiría,elegiré
,,,tú,eliges,elegiste,elegías,elegirías,elegirás
,,,él/ella/usted,elige,eligió,elegía,elegiría,elegirá
,,,nosotros,elegimos,elegimos,elegíamos,elegiríamos,elegiremos
,,,vosotros,elegís,elegisteis,elegíais,elegiríais,elegiréis
,,,ellos/ellas/ustedes,eligen,eligieron,elegían,elegirían,elegirán
eliminar,to eliminate,eh - lee - mee - nahr,yo,elimino,eliminé,eliminaba,eliminaría,eliminaré
,,,tú,eliminas,eliminaste,eliminabas,eliminarías,eliminarás
,,,él/ella/usted,elimina,eliminó,eliminaba,eliminaría,eliminará
,,,nosotros,eliminamos,eliminamos,eliminábamos,eliminaríamos,eliminaremos
,,,vosotros,elimináis,eliminasteis,eliminabais,eliminaríais,eliminaréis
,,,ellos/ellas/ustedes,eliminan,eliminaron,eliminaban,eliminarían,eliminarán
empeorar,to worsen,ehm - peh - oh - rahr,yo,empeoro,empeoré,empeoraba,empeoraría,empeoraré
,,,tú,empeoras,empeoraste,empeorabas,empeorarías,empeorarás
,,,él/ella/usted,empeora,empeoró,empeoraba,empeoraría,empeorará
,,,nosotros,empeoramos,empeoramos,empeorábamos,empeoraríamos,empeoraremos
,,,vosotros,empeoráis,empeorasteis,empeorabais,empeoraríais,empeoraréis
,,,ellos/ellas/ustedes,empeoran,empeoraron,empeoraban,empeorarían,empeorarán
empezar,to start,ehm - peh - thahr,yo,empiezo,empecé,empezaba,empezaría,empezaré
,,,tú,empiezas,empezaste,empezabas,empezarías,empezarás
,,,él/ella/usted,empieza,empezó,empezaba,empezaría,empezará
,,,nosotros,empezamos,empezamos,empezábamos,empezaríamos,empezaremos
,,,vosotros,empezáis,empezasteis,empezabais,empezaríais,empezaréis
,,,ellos/ellas/ustedes,empiezan,empezaron,empezaban,empezarían,empezarán
empujar,to push,ehm - poo - hahr,yo,empujo,empujé,empujaba,empujaría,empujaré
,,,tú,empujas,empujaste,empujabas,empujarías,empujarás
,,,él/ella/usted,empuja,empujó,empujaba,empujaría,empujará
,,,nosotros,empujamos,empujamos,empujábamos,empujaríamos,empujaremos
,,,vosotros,empujáis,empujasteis,empujabais,empujaríais,empujaréis
,,,ellos/ellas/ustedes,empujan,empujaron,empujaban,empujarían,empujarán
enamorarse,to fall in love,eh - nah - moh - rahr - seh,yo,me enamoro,me enamoré,me enamoraba,me enamoraría,me enamoraré
,,,tú,te enamoras,te enamoraste,te enamorabas,te enamorarías,te enamorarás
,,,él/ella/usted,se enamora,se enamoró,se enamoraba,se enamoraría,se enamorará
,,,nosotros,nos enamoramos,nos enamoramos,nos enamorábamos,nos enamoraríamos,nos enamoraremos
,,,vosotros,os enamoráis,os enamorasteis,os enamorabais,os enamoraríais,os enamoraréis
,,,ellos/ellas/ustedes,se enamoran,se enamoraron,se enamoraban,se enamorarían,se enamorarán
encender,to turn on,ehn - thehn - dehr,yo,enciendo,encendí,encendía,encendería,encenderé
,,,tú,enciendes,encendiste,encendías,encenderías,encenderás
,,,él/ella/usted,enciende,encendió,encendía,encendería,encenderá
,,,nosotros,encendemos,encendimos,encendíamos,encenderíamos,encenderemos
,,,vosotros,encendéis,encendisteis,encendíais,encenderíais,encenderéis
,,,ellos/ellas/ustedes,encienden,encendieron,encendían,encenderían,encenderán
encontrar,to find,ehn - kohn - trahr,yo,encuentro,encontré,encontraba,encontraría,encontraré
,,,tú,encuentras,encontraste,encontrabas,encontrarías,encontrarás
,,,él/ella/usted,encuentra,encontró,encontraba,encontraría,encontrará
,,,nosotros,encontramos,encontramos,encontrábamos,encontraríamos,encontraremos
,,,vosotros,encontráis,encontrasteis,encontrabais,encontraríais,encontraréis
,,,ellos/ellas/ustedes,encuentran,encontraron,encontraban,encontrarían,encontrarán
engañar,to cheat,ehng - gah - nyahr,yo,engaño,engañé,engañaba,engañaría,engañaré
,,,tú,engañas,engañaste,engañabas,engañarías,engañarás
,,,él/ella/usted,engaña,engañó,engañaba,engañaría,engañará
,,,nosotros,engañamos,engañamos,engañábamos,engañaríamos,engañaremos
,,,vosotros,engañáis,engañasteis,engañabais,engañaríais,engañaréis
,,,ellos/ellas/ustedes,engañan,engañaron,engañaban,engañarían,engañarán
enseñar,to teach,ehn - seh - nyahr,yo,enseño,enseñé,enseñaba,enseñaría,enseñaré
,,,tú,enseñas,enseñaste,enseñabas,enseñarías,enseñarás
,,,él/ella/usted,enseña,enseñó,enseñaba,enseñaría,enseñará
,,,nosotros,enseñamos,enseñamos,enseñábamos,enseñaríamos,enseñaremos
,,,vosotros,enseñáis,enseñasteis,enseñabais,enseñaríais,enseñaréis
,,,ellos/ellas/ustedes,enseñan,enseñaron,enseñaban,enseñarían,enseñarán
entender,to understand,ehn - tehn - dehr,yo,entiendo,entendí,entendía,entendería,entenderé
,,,tú,entiendes,entendiste,entendías,entenderías,entenderás
,,,él/ella/usted,entiende,entendió,entendía,entendería,entenderá
,,,nosotros,entendemos,entendimos,entendíamos,entenderíamos,entenderemos
,,,vosotros,entendéis,entendisteis,entendíais,entenderíais,entenderéis
,,,ellos/ellas/ustedes,entienden,entendieron,entendían,entenderían,entenderán
entrar,to enter,ehn - trahr,yo,entro,entré,entraba,entraría,entraré
,,,tú,entras,entraste,entrabas,entrarías,entrarás
,,,él/ella/usted,entra,entró,entraba,entraría,entrará
,,,nosotros,entramos,entramos,entrábamos,entraríamos,entraremos
,,,vosotros,entráis,entrasteis,entrabais,entraríais,entraréis
,,,ellos/ellas/ustedes,entran,entraron,entraban,entrarían,entrarán
entregar,to deliver,ehn - treh - gahr,yo,entrego,entregué,entregaba,entregaría,entregaré
,,,tú,entregas,entregaste,entregabas,entregarías,entregarás
,,,él/ella/usted,entrega,entregó,entregaba,entregaría,entregará
,,,nosotros,entregamos,entregamos,entregábamos,entregaríamos,entregaremos
,,,vosotros,entregáis,entregasteis,entregabais,entregaríais,entregaréis
,,,ellos/ellas/ustedes,entregan,entregaron,entregaban,entregarían,entregarán
envejecerse,to get old,ehm - beh - heh - thehr - seh,yo,me envejezco,me envejecí,me envejecía,me envejecería,me envejeceré
,,,tú,te envejeces,te envejeciste,te envejecías,te envejecerías,te envejecerás
,,,él/ella/usted,se envejece,se envejeció,se envejecía,se envejecería,se envejecerá
,,,nosotros,nos envejecemos,nos envejecimos,nos envejecíamos,nos envejeceríamos,nos envejeceremos
,,,vosotros,os envejecéis,os envejecisteis,os envejecíais,os envejeceríais,os envejeceréis
,,,ellos/ellas/ustedes,se envejecen,se envejecieron,se envejecían,se envejecerían,se envejecerán
enviar,to send,ehn - byahr,yo,envío,envié,enviaba,enviaría,enviaré
,,,tú,envías,enviaste,enviabas,enviarías,enviarás
,,,él/ella/usted,envía,envió,enviaba,enviaría,enviará
,,,nosotros,enviamos,enviamos,enviábamos,enviaríamos,enviaremos
,,,vosotros,enviáis,enviasteis,enviabais,enviaríais,enviaréis
,,,ellos/ellas/ustedes,envían,enviaron,enviaban,enviarían,enviarán
esconder,to hide,ehs - kohn - dehr,yo,escondo,escondí,escondía,escondería,esconderé
,,,tú,escondes,escondiste,escondías,esconderías,esconderás
,,,él/ella/usted,esconde,escondió,escondía,escondería,esconderá
,,,nosotros,escondemos,escondimos,escondíamos,esconderíamos,esconderemos
,,,vosotros,escondéis,escondisteis,escondíais,esconderíais,esconderéis
,,,ellos/ellas/ustedes,esconden,escondieron,escondían,esconderían,esconderán
escribir,to write,ehs - kree - beer,yo,escribo,escribí,escribía,escribiría,escribiré
,,,tú,escribes,escribiste,escribías,escribirías,escribirás
,,,él/ella/usted,escribe,escribió,escribía,escribiría,escribirá
,,,nosotros,escribimos,escribimos,escribíamos,escribiríamos,escribiremos
,,,vosotros,escribís,escribisteis,escribíais,escribiríais,escribiréis
,,,ellos/ellas/ustedes,escriben,escribieron,escribían,escribirían,escribirán
escuchar,to listen,ehs- koo - chahr,yo,escucho,escuché,escuchaba,escucharía,escucharé
,,,tú,escuchas,escuchaste,escuchabas,escucharías,escucharás
,,,él/ella/usted,escucha,escuchó,escuchaba,escucharía,escuchará
,,,nosotros,escuchamos,escuchamos,escuchábamos,escucharíamos,escucharemos
,,,vosotros,escucháis,escuchasteis,escuchabais,escucharíais,escucharéis
,,,ellos/ellas/ustedes,escuchan,escucharon,escuchaban,escucharían,escucharán
esperar,to wait,ehs - peh - rahr,yo,espero,esperé,esperaba,esperaría,esperaré
,,,tú,esperas,esperaste,esperabas,esperarías,esperarás
,,,él/ella/usted,espera,esperó,esperaba,esperaría,esperará
,,,nosotros,esperamos,esperamos,esperábamos,esperaríamos,esperaremos
,,,vosotros,esperáis,esperasteis,esperabais,esperaríais,esperaréis
,,,ellos/ellas/ustedes,esperan,esperaron,esperaban,esperarían,esperarán
estar,to be (temporary),ehs - tahr,yo,estoy,estuve,estaba,estaría,estaré
,,,tú,estás,estuviste,estabas,estarías,estarás
,,,él/ella/usted,está,estuvo,estaba,estaría,estará
,,,nosotros,estamos,estuvimos,estábamos,estaríamos,estaremos
,,,vosotros,estáis,estuvisteis,estabais,estaríais,estaréis
,,,ellos/ellas/ustedes,están,estuvieron,estaban,estarían,estarán
estudiar,to study,ehs - too - dyahr,yo,estudio,estudié,estudiaba,estudiaría,estudiaré
,,,tú,estudias,estudiaste,estudiabas,estudiarías,estudiarás
,,,él/ella/usted,estudia,estudió,estudiaba,estudiaría,estudiará
,,,nosotros,estudiamos,estudiamos,estudiábamos,estudiaríamos,estudiaremos
,,,vosotros,estudiáis,estudiasteis,estudiabais,estudiaríais,estudiaréis
,,,ellos/ellas/ustedes,estudian,estudiaron,estudiaban,estudiarían,estudiarán
evitar,to avoid,eh - bee - tahr,yo,evito,evité,evitaba,evitaría,evitaré
,,,tú,evitas,evitaste,evitabas,evitarías,evitarás
,,,él/ella/usted,evita,evitó,evitaba,evitaría,evitará
,,,nosotros,evitamos,evitamos,evitábamos,evitaríamos,evitaremos
,,,vosotros,evitáis,evitasteis,evitabais,evitaríais,evitaréis
,,,ellos/ellas/ustedes,evitan,evitaron,evitaban,evitarían,evitarán
existir,to exist,ehk - sees - teer,yo,existo,existí,existía,existiría,existiré
,,,tú,existes,exististe,existías,existirías,existirás
,,,él/ella/usted,existe,existió,existía,existiría,existirá
,,,nosotros,existimos,existimos,existíamos,existiríamos,existiremos
,,,vosotros,existís,exististeis,existíais,existiríais,existiréis
,,,ellos/ellas/ustedes,existen,existieron,existían,existirían,existirán
explicar,to explain,ehks - plee - kahr,yo,explico,expliqué,explicaba,explicaría,explicaré
,,,tú,explicas,explicaste,explicabas,explicarías,explicarás
,,,él/ella/usted,explica,explicó,explicaba,explicaría,explicará
,,,nosotros,explicamos,explicamos,explicábamos,explicaríamos,explicaremos
,,,vosotros,explicáis,explicasteis,explicabais,explicaríais,explicaréis
,,,ellos/ellas/ustedes,explican,explicaron,explicaban,explicarían,explicarán
explorar,to explore,ehks - ploh - rahr,yo,exploro,exploré,exploraba,exploraría,exploraré
,,,tú,exploras,exploraste,explorabas,explorarías,explorarás
,,,él/ella/usted,explora,exploró,exploraba,exploraría,explorará
,,,nosotros,exploramos,exploramos,explorábamos,exploraríamos,exploraremos
,,,vosotros,exploráis,explorasteis,explorabais,exploraríais,exploraréis
,,,ellos/ellas/ustedes,exploran,exploraron,exploraban,explorarían,explorarán
expresar,to express,ehks - preh - sahr,yo,expreso,expresé,expresaba,expresaría,expresaré
,,,tú,expresas,expresaste,expresabas,expresarías,expresarás
,,,él/ella/usted,expresa,expresó,expresaba,expresaría,expresará
,,,nosotros,expresamos,expresamos,expresábamos,expresaríamos,expresaremos
,,,vosotros,expresáis,expresasteis,expresabais,expresaríais,expresaréis
,,,ellos/ellas/ustedes,expresan,expresaron,expresaban,expresarían,expresarán
faltar,to fall short (of),fahl - tahr,yo,falto,falté,faltaba,faltaría,faltaré
,,,tú,faltas,faltaste,faltabas,faltarías,faltarás
,,,él/ella/usted,falta,faltó,faltaba,faltaría,faltará
,,,nosotros,faltamos,faltamos,faltábamos,faltaríamos,faltaremos
,,,vosotros,faltáis,faltasteis,faltabais,faltaríais,faltaréis
,,,ellos/ellas/ustedes,faltan,faltaron,faltaban,faltarían,faltarán
firmar,to sign,feer - mahr,yo,firmo,firmé,firmaba,firmaría,firmaré
,,,tú,firmas,firmaste,firmabas,firmarías,firmarás
,,,él/ella/usted,firma,firmó,firmaba,firmaría,firmará
,,,nosotros,firmamos,firmamos,firmábamos,firmaríamos,firmaremos
,,,vosotros,firmáis,firmasteis,firmabais,firmaríais,firmaréis
,,,ellos/ellas/ustedes,firman,firmaron,firmaban,firmarían,firmarán
funcionar,to function,foon - thyoh - nahr,yo,funciono,funcioné,funcionaba,funcionaría,funcionaré
,,,tú,funcionas,funcionaste,funcionabas,funcionarías,funcionarás
,,,él/ella/usted,funciona,funcionó,funcionaba,funcionaría,funcionará
,,,nosotros,funcionamos,funcionamos,funcionábamos,funcionaríamos,funcionaremos
,,,vosotros,funcionáis,funcionasteis,funcionabais,funcionaríais,funcionaréis
,,,ellos/ellas/ustedes,funcionan,funcionaron,funcionaban,funcionarían,funcionarán
ganar,to win,gah - nahr,yo,gano,gané,ganaba,ganaría,ganaré
,,,tú,ganas,ganaste,ganabas,ganarías,ganarás
,,,él/ella/usted,gana,ganó,ganaba,ganaría,ganará
,,,nosotros,ganamos,ganamos,ganábamos,ganaríamos,ganaremos
,,,vosotros,ganáis,ganasteis,ganabais,ganaríais,ganaréis
,,,ellos/ellas/ustedes,ganan,ganaron,ganaban,ganarían,ganarán
gastar,to expend,gas - taɾ,yo,gasto,gasté,gastaba,gastaría,gastaré
,,,tú,gastas,gastaste,gastabas,gastarías,gastarás
,,,él/ella/usted,gasta,gastó,gastaba,gastaría,gastará
,,,nosotros,gastamos,gastamos,gastábamos,gastaríamos,gastaremos
,,,vosotros,gastáis,gastasteis,gastabais,gastaríais,gastaréis
,,,ellos/ellas/ustedes,gastan,gastaron,gastaban,gastarían,gastarán
girar,to turn,hee - rahr,yo,giro,giré,giraba,giraría,giraré
,,,tú,giras,giraste,girabas,girarías,girarás
,,,él/ella/usted,gira,giró,giraba,giraría,girará
,,,nosotros,giramos,giramos,girábamos,giraríamos,giraremos
,,,vosotros,giráis,girasteis,girabais,giraríais,giraréis
,,,ellos/ellas/ustedes,giran,giraron,giraban,girarían,girarán
gritar,to shout,gree - tahr,yo,grito,grité,gritaba,gritaría,gritaré
,,,tú,gritas,gritaste,gritabas,gritarías,gritarás
,,,él/ella/usted,grita,gritó,gritaba,gritaría,gritará
,,,nosotros,gritamos,gritamos,gritábamos,gritaríamos,gritaremos
,,,vosotros,gritáis,gritasteis,gritabais,gritaríais,gritaréis
,,,ellos/ellas/ustedes,gritan,gritaron,gritaban,gritarían,gritarán
guardar,to save,gwahr - dahr,yo,guardo,guardé,guardaba,guardaría,guardaré
,,,tú,guardas,guardaste,guardabas,guardarías,guardarás
,,,él/ella/usted,guarda,guardó,guardaba,guardaría,guardará
,,,nosotros,guardamos,guardamos,guardábamos,guardaríamos,guardaremos
,,,vosotros,guardáis,guardasteis,guardabais,guardaríais,guardaréis
,,,ellos/ellas/ustedes,guardan,guardaron,guardaban,guardarían,guardarán
haber,to have,ah - behr,yo,he,hube,había,habría,habré
,,,tú,has,hubiste,habías,habrías,habrás
,,,él/ella/usted,"ha
,
hay",hubo,había,habría,habrá
,,,nosotros,hemos,hubimos,habíamos,habríamos,habremos
,,,vosotros,habéis,hubisteis,habíais,habríais,habréis
,,,ellos/ellas/ustedes,han,hubieron,habían,habrían,habrán
hablar,to speak,ah - blahr,yo,hablo,hablé,hablaba,hablaría,hablaré
,,,tú,hablas,hablaste,hablabas,hablarías,hablarás
,,,él/ella/usted,habla,habló,hablaba,hablaría,hablará
,,,nosotros,hablamos,hablamos,hablábamos,hablaríamos,hablaremos
,,,vosotros,habláis,hablasteis,hablabais,hablaríais,hablaréis
